date,region,current_inpatient,current_critical
20-Jun,South,0,2
20-Jun,Regina,0,0
21-Jun,Far North,0,0
21-Jun,North,0,0
21-Jun,Central,0,0
21-Jun,Saskatoon,0,1
21-Jun,South,0,2
21-Jun,Regina,0,0
22-Jun,Far North,0,0
22-Jun,North,0,0
22-Jun,Central,0,0
22-Jun,Saskatoon,1,0
22-Jun,South,2,0
22-Jun,Regina,0,0
23-Jun,Far North,0,0
23-Jun,North,0,0
23-Jun,Central,0,0
23-Jun,Saskatoon,1,0
23-Jun,South,2,1
23-Jun,Regina,0,0
24-Jun,Far North,0,0
24-Jun,North,0,0
24-Jun,Central,0,0
24-Jun,Saskatoon,2,0
24-Jun,South,2,1
24-Jun,Regina,0,0
